SiteDataTypeID,ParentID,IsFolder,SortOrder,Source,Name,SiteName,Units,TimeInterval,Parameter,TableName,FileIndex,Provider,ConnectionString,Expression,Notes
System.Int32,System.Int32,System.Boolean,System.Int32,System.String,System.String,System.String,System.String,System.String,System.String,System.String,System.Int32,System.String,System.String,System.String,System.String
389,373,False,133,cr10x,Average CREEK_TMP,Ashland Creek,,Irregular,,ASH_CRK_133,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=30,,
390,373,False,134,cr10x,Max CREEK_TMP,Ashland Creek,,Irregular,,ASH_CRK_134,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=31,,
391,373,False,135,cr10x,Min CREEK_TMP,Ashland Creek,,Irregular,,ASH_CRK_135,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=33,,
392,364,True,136,,Beaver Creek,,,,,,0,,,,
393,392,True,137,,60 minute data,,,,,,0,,,,
394,393,False,138,cr10x,Average Battery,Beaver Creek,volts,Irregular,,beaver._138,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=60;ColumnNumber=5,,
395,393,False,139,cr10x,Average AirTempF,Beaver Creek,degrees F,Irregular,,beaver._139,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=60;ColumnNumber=6,,
396,393,False,140,cr10x,Average HP_CnlHgt,Beaver Creek,feet,Irregular,,beaver._140,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=60;ColumnNumber=7,,
397,393,False,141,cr10x,Average BvrCrkHgt,Beaver Creek,feet,Irregular,,beaver._141,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=60;ColumnNumber=8,,
398,393,False,142,cr10x,Average BvrCrkCFS,Beaver Creek,cfs,Irregular,,beaver._142,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=60;ColumnNumber=9,,
399,392,True,143,,24 hour data,Beaver Creek,,,,,0,,0,,
400,399,False,144,cr10x,Average Battery,Beaver Creek,volts,Irregular,,beaver._144,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=5,,
401,399,False,145,cr10x,Max Battery,Beaver Creek,volts,Irregular,,beaver._145,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=6,,
402,399,False,146,cr10x,Min Battery,Beaver Creek,volts,Irregular,,beaver._146,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=8,,
403,399,False,147,cr10x,Average AirTempF,Beaver Creek,degrees F,Irregular,,beaver._147,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=10,,
404,399,False,148,cr10x,Max AirTempF,Beaver Creek,degrees F,Irregular,,beaver._148,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=11,,
405,399,False,149,cr10x,Min AirTempF,Beaver Creek,degrees F,Irregular,,beaver._149,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=13,,
406,399,False,150,cr10x,Average BvrCrkHgt,Beaver Creek,feet,Irregular,,beaver._150,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=15,,
407,399,False,151,cr10x,Max BvrCrkHgt,Beaver Creek,feet,Irregular,,beaver._151,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=16,,
408,399,False,152,cr10x,Min BvrCrkHgt,Beaver Creek,feet,Irregular,,beaver._152,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=18,,
409,399,False,153,cr10x,Average BvrCrkCFS,Beaver Creek,cfs,Irregular,,beaver._153,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=20,,
410,399,False,154,cr10x,Max BvrCrkCFS,Beaver Creek,cfs,Irregular,,beaver._154,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=21,,
411,399,False,155,cr10x,Min BvrCrkCFS,Beaver Creek,cfs,Irregular,,beaver._155,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=23,,
412,399,False,156,cr10x,Average HP_CnlHgt,Beaver Creek,feet,Irregular,,beaver._156,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=25,,
413,399,False,157,cr10x,Max HP_CnlHgt,Beaver Creek,feet,Irregular,,beaver._157,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=26,,
414,399,False,158,cr10x,Min HP_CnlHgt,Beaver Creek,feet,Irregular,,beaver._158,0,Cr10xSeries,FileName=c:\pc208w\bin\beaver.DAT;interval=24;ColumnNumber=28,,
415,364,True,159,,Billings,,,,,,0,,,,
416,415,True,160,,15 minute data,,,,,,0,,,,
417,416,False,161,cr10x,Average Battery,Billings,,Irregular,,billing_161,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=15;ColumnNumber=5,,
418,416,False,162,cr10x,Average CANAL_HGT,Billings,,Irregular,,billing_162,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=15;ColumnNumber=6,,
419,416,False,163,cr10x,Average GATE1_HGT,Billings,,Irregular,,billing_163,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=15;ColumnNumber=7,,
420,416,False,164,cr10x,Average CFS,Billings,,Irregular,,billing_164,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=15;ColumnNumber=8,,
421,415,True,165,,24 hour data,,,,,,0,,,,
422,421,False,166,cr10x,Average Battery,Billings,,Irregular,,billing_166,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=4,,
423,421,False,167,cr10x,Average CANAL_HGT,Billings,,Irregular,,billing_167,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=5,,
424,421,False,168,cr10x,Max CANAL_HGT,Billings,,Irregular,,billing_168,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=6,,
425,421,False,169,cr10x,Min CANAL_HGT,Billings,,Irregular,,billing_169,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=8,,
426,421,False,170,cr10x,Average GATE1_HGT,Billings,,Irregular,,billing_170,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=10,,
427,421,False,171,cr10x,Max GATE1_HGT,Billings,,Irregular,,billing_171,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=11,,
428,421,False,172,cr10x,Min GATE1_HGT,Billings,,Irregular,,billing_172,0,Cr10xSeries,FileName=c:\pc208w\bin\billings.DAT;interval=24;ColumnNumber=13,,
